rank,title,singer,album
67,That's Hilarious,Charlie Puth,CHARLIE
68,Set Me Free Pt.2,지민,FACE
69,STAY,The Kid LAROI,Stay
70,Say I Love You,우디 (Woody),Say I Love You (Re : WIND 4MEN Vol.04)
71,Monologue,테이,Monologue
72,Shut Down,BLACKPINK,BORN PINK
73,헤어지자 말해요,박재정,1집 Alone
74,해금,Agust D,D-DAY
75,Pink Venom,BLACKPINK,BORN PINK
76,취중고백,김민석 (멜로망스),취중고백
77,ELEVEN,IVE (아이브),ELEVEN
78,내가 아니라도,주호,내가 아니라도
79,나비무덤,포맨 (4MEN),나비무덤
80,새삥 (Prod. ZICO) (Feat. 호미들),지코 (ZICO),스트릿 맨 파이터(SMF) Original Vol.3 (계급미션)
81,정이라고 하자 (Feat. 10CM),BIG Naughty (서동현),정이라고 하자
82,그중에 그대를 만나,김호중,삼남매가 용감하게 OST Part.1
83,TOMBOY,(여자)아이들,I NEVER DIE
84,다정히 내 이름을 부르면,경서예지,다정히 내 이름을 부르면 (경서예지 x 전건호)
85,그라데이션,10CM,5.3
86,그때 그 순간 그대로 (그그그),WSG워너비 (가야G),WSG워너비 1집
87,FEARLESS,LE SSERAFIM (르세라핌),FEARLESS
88,나의 마음에 (Seed),태양,Down to Earth
89,Say My Name,Say Yes!,BOYS PLANET - ARTIST BATTLE
90,Cookie,NewJeans,NewJeans 1st EP 'New Jeans'
91,Kiss,NCT 도재정,Perfume - The 1st Mini Album
92,That’s Not How This Works (feat. Dan + Shay),Charlie Puth,That’s Not How This Works (feat. Dan + Shay)
93,결국엔 너에게 닿아서,WSG워너비 (가야G),결국엔 너에게 닿아서
94,오르트구름,윤하 (YOUNHA),YOUNHA 6th Album 'END THEORY'
95,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,'키스 먼저 할까요?' OST Part.3
96,후유증 (Can We Go Back),NCT 도재정,Perfume - The 1st Mini Album
97,"Young, Dumb, Stupid",NMIXX,expérgo
98,다시 사랑한다면,한동근,다시 사랑한다면
99,Unholy,Sam Smith,Gloria
100,Off My Face,Justin Bieber,Justice (The Complete Edition)
